group_entry_name,sku,stock,allocated,price_per_unit,cost_price,incoming,cover_14,cover_30,cover_90,sell_through,units_sold,units_sold_in_kits,total_units_sold,profit,profit_margin_percent,gross_sales
Plumbing: Fitting Straight Coupler/Socket,KK-10243,74,0,3.605,0.72,0,0,0,0,over 1 year,14,10.0,24.0,11.22,84.44,21.63
Plumbing: Fitting Street Elbow 45,KK-10585,38,0,5.8116666666666667,0.81,0,0,0,0,over 2 years,4,0.0,4.0,21.47,86.0033333333333334,24.89
Plumbing: Manifold 2in | 2x 3/4in Port,KK-10199,-2,0,8.835,2.0,0,2.0,2.0,2.0,3 months,2,0.0,2.0,13.67,77.36,17.67
Plumbing: Manifold 2in | 4x 3/4in RB Port,KK-10200,19,0,9.6075,3.0,0,0,0,0,6 months,7,0.0,7.0,46.27,68.7775,67.27
Plumbing: Manifold 2in | 6x 3/4in RB Port,KK-10201,-11,0,11.07,3.0,0,11.0,13.0,17.0,3 months,7,0.0,7.0,56.49,72.9033333333333333,77.49
Plumbing: Manifold Air 1in | 8x 3/8in Port,KK-10625,-2,0,7.49,1.0,0,2.0,4.0,8.0,3 months,2,0.0,2.0,12.98,86.65,14.98
Plumbing: Manifold Plug,KK-10198,333,0,2.419375,0.83,0,0,0,0,over 6 years,13,0.0,13.0,28.04,66.17875,39.64
Plumbing: Pipe (Flexi),KK-10221,175,10,6.9557142857142857,2.5,0,0,0,0,about 2 years,18,10.0,28.0,71.02,66.9808333333333334,115.02
Plumbing: Pump Union,KK-10262,297,0,4.652,2.0,0,0,0,0,about 9 years,7,0.0,7.0,13.64,59.8,27.64
Portable Control Unit ( PCU )  FILTER HOUSING O-RING,KK-10109,120,1,3.8180392156862745,5.0,0,0,0,0,4 months,83,0.0,83.0,-85.79,-18.3878260869565217,329.21
Portable Control Unit V1,KK-10683,4,2,171.0907692307692308,200.0,0,0,4.0,20.0,21 days,15,4.0,19.0,-742.49,-131.03,2257.51
Portable Control Unit V1 REFURBISHED,KK-10684,18,0,172.9175,150.0,0,0,0,0,2 months,14,0.0,14.0,558.33,16.695,2658.33
Portable Control Unit V2,KK-10740,-8,8,164.4315555555555556,200.0,0,24.0,43.0,113.0,8 days,70,19.0,89.0,-4165.35,20.8823809523809524,9834.65
Portable Control Unit V2 Refurbished (UK Plug),KK-10822,10,0,250.0,150.0,0,0,0,0,8 months,4,23.0,27.0,400.0,54.5233333333333333,1000.0
Portable Control Unit V2 Refurb. (UK Plug) with V1/V2 Conversion Kit,KK-10857,0,0,310.0488235294117647,183.0,0,1.0,4.0,12.0,less than a minute,18,0.0,18.0,2236.33,6.7282352941176471,5458.33
Portable Control Unit V2 with Adaptors to fit V1 Spas (UK Plug),KK-10809,0,0,328.8913333333333333,218.0,0,4.0,9.0,27.0,less than a minute,19,0.0,19.0,2089.98,25.0823076923076923,6231.98
PORTABLE DRAIN HOSE,KK-10682,93,3,2.0825,3.0,0,0,0,0,over 4 years,5,0.0,5.0,1.67,64.0,16.67
Portable Pool & Spa Chemical Kit,KA-10088,796,23,34.3054385964912281,18.06,0,0,0,0,over 1 year,96,31.0,127.0,1483.34,29.925531914893617,3217.1
PORTABLE SPA FILTERS - 4 PACK,KA-10090,3983,5,34.7063636363636364,10.0,0,0,0,0,over 9 years,78,0.0,78.0,1962.97,61.2482692307692308,2742.97
PORTABLE SPA INFLATION HOSE V1,KK-10108,80,1,2.2958823529411765,10.0,0,0,0,0,about 1 year,19,1.0,20.0,-150.97,22.9066666666666667,39.03
Portables Thermal Spa Blanket,KK-10112,-8,1,9.72,14.0,0,10.0,14.0,26.0,about 2 months,13,0.0,13.0,-65.36,22.9733333333333333,116.64
Proline 4in/3in Tapered Brown Spa Cover 1 Year Warranty,KC-10189,0,0,265.4785841836734694,166.66,0,11.0,25.0,75.0,less than a minute,47,0.0,47.0,3569.55,29.4097321428571429,12969.55
Proline 4in/3in Tapered Grey Spa Cover 1 Year Warranty,KC-10196,0,1,290.693234693877551,153.97,0,17.0,37.0,111.0,less than a minute,42,0.0,42.0,3912.5,32.4285714285714286,12262.77
Pump: 3hp 2in X 2in (LX) LP300 1-Speed,KK-10864,-1,0,0.0,100.0,0,1.0,2.0,4.0,about 2 months,1,0.0,1.0,-100.0,0.0,0.0
Pump: 3HP 2in x 2in (LX) WP300 2-Speed,KK-10317,131,10,195.3916666666666667,126.58,0,0,0,0,over 1 year,21,0.0,21.0,1109.57,34.089,3767.75
